Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,"Agilent Technologies",125.94,-3.02,-2.34%,129.74,125.61,1897300,2022-10-20
AAL,"American Airlines Gp",13.46,-0.53,-3.79%,14.27,13.43,58239699,2022-10-20
AAP,"Advance Auto Parts Inc",170.28,-0.97,-0.57%,173.86,169.4,551700,2022-10-20
AAPL,"Apple Inc",143.39,-0.47,-0.33%,145.89,142.65,64521902,2022-10-20
ABBV,"Abbvie Inc",142.93,-0.19999999999999,-0.14%,144.0367,142.43,3880100,2022-10-20
ABC,"Amerisourcebergen Corp",142.77,-0.22,-0.15%,143.33,141.58,877600,2022-10-20
ABMD,"Abiomed Inc",252.51,-0.73,-0.29%,255.84,250.11,216900,2022-10-20
ABT,"Abbott Laboratories",95.21,-2.9,-2.96%,97.74,95.01,12651100,2022-10-20
ACN,"Accenture Plc",261.78,-2.28,-0.86%,269.66,260.63,1970100,2022-10-20
ADBE,"Adobe Systems Inc",302.38,2.55,+0.85%,309.19,299.34,3621500,2022-10-20
ADI,"Analog Devices",142.08,0.75,+0.53%,146.75,141.25,3341000,2022-10-20
ADM,"Archer Daniels Midland",88.33,-0.019999999999996,-0.02%,89.71,88.03,3182200,2022-10-20
ADP,"Automatic Data Procs",229.48,-3.76,-1.61%,234.7,228.88,1314300,2022-10-20
ADSK,"Autodesk Inc",197.83,0.81,+0.41%,203.6,196.85,743000,2022-10-20
AEE,"Ameren Corp",76.62,-1.94,-2.47%,78.28,76.27,1465700,2022-10-20
AEP,"American Electric Power Company",83.93,-1.97,-2.29%,86.29,83.54,3165500,2022-10-20
AES,"The Aes Corp",23.48,-0.65,-2.69%,24.16,23.28,2936300,2022-10-20
AFL,"Aflac Inc",59.15,-0.99,-1.65%,60.33,58.92,2243700,2022-10-20
AIG,"American International Group",51.85,-0.9,-1.71%,52.965,51.55,4473700,2022-10-20
AIZ,"Assurant Inc",145.3,-6.69,-4.40%,150.14,144.85,392500,2022-10-20
AJG,"Arthur J. Gallagher & Company",173.82,-4.23,-2.38%,177.01,172.895,1043900,2022-10-20
AKAM,"Akamai Technologies",84.16,1.22,+1.47%,85.68,83.22,1374400,2022-10-20
ALB,"Albemarle Corp",255.39,-1.12,-0.44%,261.22,252.61,1067800,2022-10-20
ALGN,"Align Technology",198.28,-6.7,-3.27%,208.05,197.78,1076900,2022-10-20
ALK,"Alaska Air Group",39.88,-1.97,-4.71%,41.63,39.46,4302100,2022-10-20
ALL,"Allstate Corp",117.71,-17.44,-12.90%,122.79,116.51,9420300,2022-10-20
ALLE,"Allegion Plc",89.8,-2.31,-2.51%,91.85,89.59,795300,2022-10-20
AMAT,"Applied Materials",78.66,1.4,+1.81%,82.11,77.21,13287801,2022-10-20
AMCR,"Amcor Plc",10.89,-0.17,-1.54%,11.145,10.84,6445900,2022-10-20
AMD,"Adv Micro Devices",57.77,0.54,+0.94%,60.2,57.4,79552602,2022-10-20
AME,"Ametek Inc",115.1,-2.89,-2.45%,117.81,114.25,1395700,2022-10-20
AMGN,"Amgen Inc",247.45,-0.74,-0.30%,249.06,246.01,2058000,2022-10-20
AMP,"Ameriprise Financial Services",257.84,-6.46,-2.44%,267.255,257.36,530300,2022-10-20
AMT,"American Tower Corp",188,-2.99,-1.57%,191.155,185.37,2515600,2022-10-20
AMZN,"Amazon.com Inc",115.25,0.18,+0.16%,118.24,113.51,48795102,2022-10-20
ANET,"Arista Networks Inc",105.64,0.53,+0.50%,108.95,104.83,1560700,2022-10-20
ANSS,"Ansys Inc",210.51,-3.68,-1.72%,218,209.45,541600,2022-10-20
AON,"AON Plc",273.72,-7.21,-2.57%,280.98,272.65,917100,2022-10-20
AOS,"Smith A.O. Corp",48.76,-2.01,-3.96%,51.17,48.68,954900,2022-10-20
APA,"Apa Corp",41.51,-0.4,-0.95%,43.13,41.29,7131500,2022-10-20
APD,"Air Products and Chemicals",238.32,-3.13,-1.30%,243.5,237.93,716200,2022-10-20
APH,"Amphenol Corp",69.14,-0.95,-1.36%,70.92,68.64,2879300,2022-10-20
APTV,"Aptiv Plc",84.66,-1.29,-1.50%,88.3175,84.2,1466800,2022-10-20
ARE,"Alexandria Real Estate Equities",129.24,-1.35,-1.03%,131.91,129.01,718700,2022-10-20
ATO,"Atmos Energy Corp",100.11,-1.93,-1.89%,102,100.02,685200,2022-10-20
ATVI,"Activision Blizzard",73.31,1.1,+1.52%,73.83,72.24,5178900,2022-10-20
AVB,"Avalonbay Communities",172.03,-1.32,-0.76%,175.65,171.88,1038600,2022-10-20
AVGO,"Broadcom Ltd",430.3,-5,-1.15%,442.19,428.14,2340300,2022-10-20
AVY,"Avery Dennison Corp",168.72,-2.55,-1.49%,173.9,168.12,352900,2022-10-20
AWK,"American Water Works",129.93,-4.07,-3.04%,134.39,129.33,1324800,2022-10-20
AXP,"American Express Company",142.42,-1.55,-1.08%,147.315,142.15,4319300,2022-10-20
AZO,Autozone,2258.8301,-30.9699,-1.35%,2309.3101,2249.3601,195600,2022-10-20
BA,"Boeing Company",139.13,0.74000000000001,+0.53%,141.88,138.36,4331600,2022-10-20
BAC,"Bank of America Corp",33.7,-0.22,-0.65%,34.625,33.59,39549100,2022-10-20
BALL,"Ball Corporation",48.51,-0.43,-0.88%,49.79,48.16,1422700,2022-10-20
BAX,"Baxter International Inc",55,-0.32,-0.58%,56.34,54.8882,3831100,2022-10-20
BBWI,"Bath & Body Works Inc",32.73,-0.18,-0.55%,34.44,32.375,2705500,2022-10-20
BBY,"Best Buy Company",62.85,-0.89,-1.40%,65.4,62.515,1900700,2022-10-20
BDX,"Becton Dickinson and Company",222.58,-2.89,-1.28%,226.44,222.22,878800,2022-10-20
BEN,"Franklin Resources",21.74,-0.51,-2.29%,22.5457,21.62,2200500,2022-10-20
BF.B,"Brown Forman Inc Cl B",63.37,-0.89000000000001,-1.38%,64.34,63.23,932900,2022-10-20
BIIB,"Biogen Inc",262.65,-1.8,-0.68%,265.99,260.33,1030900,2022-10-20
BIO,"Bio-Rad Laboratories",375.8,-9.43,-2.45%,387.685,372.99,214400,2022-10-20
BK,"Bank of New York Mellon Corp",38.42,-0.6,-1.54%,39.625,38.37,6931700,2022-10-20
BKNG,"Booking Holdings Inc",1773.62,1.8,+0.10%,1827,1763.57,345100,2022-10-20
BKR,"Baker Hughes A Ge Co. Cl A",25.95,0.3,+1.17%,26.35,25.67,11755801,2022-10-20
BLK,"Blackrock Inc",572.36,-5.54,-0.96%,590.74,569.275,820900,2022-10-20
BMY,"Bristol-Myers Squibb Company",70.35,-0.79000000000001,-1.11%,71.2,70.03,9193100,2022-10-20
BR,"Broadridge Financial Solutions Llc",140.4,-3.1,-2.16%,144.28,137.43,772400,2022-10-20
BRK.B,"Berkshire Hathaway Cl B",273.53,-4.81,-1.73%,279.4399,273,3918500,2022-10-20
BRO,"Brown & Brown",60.89,-2.01,-3.20%,62.72,60.66,1120400,2022-10-20
BSX,"Boston Scientific Corp",40.23,-0.73,-1.78%,41.115,40.15,4851800,2022-10-20
BWA,"Borgwarner Inc",33.77,-0.3,-0.88%,34.62,33.45,2830900,2022-10-20
BXP,"Boston Properties",72.3,0.48,+0.67%,73.37,71.645,1447700,2022-10-20
C,"Citigroup Inc",42.92,-0.42,-0.97%,43.94,42.72,15421500,2022-10-20
CAG,"Conagra Brands Inc",34.36,-0.57,-1.63%,34.98,34.26,3376700,2022-10-20
CAH,"Cardinal Health",70.77,-0.030000000000001,-0.04%,70.94,69.8,2688500,2022-10-20
CARR,"Carrier Global Corp",34.06,-0.83,-2.38%,35.26,33.93,4300200,2022-10-20
CAT,"Caterpillar Inc",180.54,-3.87,-2.10%,185.74,180.46,2953800,2022-10-20
CB,"Chubb Ltd",192.21,-3.77,-1.92%,196.09,191.57,1670200,2022-10-20
CBOE,"CBOE Global Markets Inc",118.98,-0.77,-0.64%,121.2,118.38,422400,2022-10-20
CBRE,"CBRE Group Inc",67.77,-0.060000000000002,-0.09%,68.8,67.31,1815900,2022-10-20
CCI,"Crown Castle Inc",126.8,-3.9,-2.98%,129.6,124.36,4425500,2022-10-20
CCL,"Carnival Corp",8,0.32,+4.17%,8.29,7.71,59658400,2022-10-20
CDAY,"Ceridian Hcm Holding Inc",55.78,-1.06,-1.86%,58.72,55.01,946000,2022-10-20
CDNS,"Cadence Design Sys",153.05,-0.67,-0.44%,156.61,152,1599900,2022-10-20
CDW,"CDW Corp",158.42,-1.05,-0.66%,161.72,157.35,648400,2022-10-20
CE,"Celanese Corp",92.05,-0.54000000000001,-0.58%,95.79,91.82,737700,2022-10-20
CEG,"Constellation Energy Corp",84.56,-1.13,-1.32%,86.73,84.18,2076500,2022-10-20
CF,"Cf Industries Holdings",104.42,3.76,+3.74%,105.63,100.96,3011000,2022-10-20
CFG,"Citizens Financial Group Inc/Ri",35.9,-0.82,-2.23%,37.75,35.64,5979200,2022-10-20
CHD,"Church & Dwight Company",72.21,-1.41,-1.92%,73.98,72.14,1451000,2022-10-20
CHRW,"C.H. Robinson Ww",92.47,-0.98,-1.05%,94.33,91.92,1196200,2022-10-20
CHTR,"Charter Communicatio",328.12,3.47,+1.07%,331.7,323.13,1282300,2022-10-20
CI,"Cigna Corp",294.31,1.23,+0.42%,296.975,291.92,1509500,2022-10-20
CINF,"Cincinnati Financial",97.75,-3.29,-3.26%,100.04,97.25,825100,2022-10-20
CL,"Colgate-Palmolive Company",70.25,-1.5,-2.09%,71.78,70.19,3436000,2022-10-20
CLX,"Clorox Company",133.11,-3.76,-2.75%,137.03,133,1072300,2022-10-20
CMA,"Comerica Inc",64.76,-2.89,-4.27%,68.47,64.42,3240400,2022-10-20
CMCSA,"Comcast Corp A",30.46,0.07,+0.23%,30.81,30.26,22997100,2022-10-20
CME,"CME Group Inc",170.4,-2.4,-1.39%,173.68,169.95,1777200,2022-10-20
CMG,"Chipotle Mexican Grill",1536.2,8.99,+0.59%,1547,1523.01,238200,2022-10-20
CMI,"Cummins Inc",220.28,-4.48,-1.99%,225.64,218.88,654000,2022-10-20
CMS,"Cms Energy Corp",53.97,-1.66,-2.98%,55.56,53.735,2680500,2022-10-20
CNC,"Centene Corp",74.15,-1.57,-2.07%,76.57,73.95,2674100,2022-10-20
CNP,"Centerpoint Energy Inc",26.6,-0.4,-1.48%,27.04,26.395,6638000,2022-10-20
COF,"Capital One Financial Corp",94.98,-0.25,-0.26%,97.71,94.33,3535100,2022-10-20
COO,"Cooper Companies",255.7,-0.78000000000003,-0.30%,259.4,254.25,300300,2022-10-20
COP,Conocophillips,121.81,0.7,+0.58%,124.91,121.78,6456000,2022-10-20
COST,"Costco Wholesale",464.62,-6.81,-1.44%,472.08,462.91,1709500,2022-10-20
CPB,"Campbell Soup Company",49.88,-1.1,-2.16%,51.1675,49.84,2247500,2022-10-20
CPRT,"Copart Inc",108.81,-2.14,-1.93%,112.24,108.53,958700,2022-10-20
CPT,"Camden Property Trust",112.27,-0.46000000000001,-0.41%,114.42,111.6,766800,2022-10-20
CRL,"Charles River Laboratories Intl",199.49,-0.10999999999999,-0.06%,203.74,198.22,569100,2022-10-20
CRM,"Salesforce Inc",157.5,3.83,+2.49%,161.3,153.6,9203300,2022-10-20
CSCO,"Cisco Systems Inc",41.71,-0.17,-0.41%,42.62,41.46,16830400,2022-10-20
CSGP,"Costar Group Inc",70.57,-1.72,-2.38%,72.68,70.5,1694200,2022-10-20
CSX,"CSX Corp",27.08,-0.84,-3.01%,27.84,26.79,20922900,2022-10-20
CTAS,"Cintas Corp",392.7,-7.55,-1.89%,402.95,390.56,399600,2022-10-20
CTLT,"Catalent Inc",68.27,-2.81,-3.95%,71.81,68.18,1532500,2022-10-20
CTRA,"Coterra Energy Inc",29.69,-0.43,-1.43%,30.55,29.49,5742400,2022-10-20
CTSH,"Cognizant Tech Sol",59.78,-0.03,-0.05%,61.15,59.63,3122300,2022-10-20
CTVA,"Corteva Inc",61.93,0.13,+0.21%,62.74,61.37,2886400,2022-10-20
CVS,"CVS Corp",90.99,-0.67,-0.73%,92.06,90.65,4798600,2022-10-20
CVX,"Chevron Corp",168.96,0.96000000000001,+0.57%,171.82,167.94,8871500,2022-10-20
CZR,"Caesars Entertainment Inc",37.41,0.1,+0.27%,39.52,37.31,3305000,2022-10-20
D,"Dominion Resources",64.41,-1.28,-1.95%,65.61,64.11,3300000,2022-10-20
DAL,"Delta Air Lines Inc",32.15,-0.37,-1.14%,33.095,32.11,14786500,2022-10-20
DD,"Dupont Denemours Inc",53.76,-0.34,-0.63%,55.26,53.51,2187500,2022-10-20
DE,"Deere & Company",365.52,-5.8,-1.56%,374.08,363.715,788300,2022-10-20
DFS,"Discover Financial Services",92.76,-0.67,-0.72%,95.335,92.275,1157300,2022-10-20
DG,"Dollar General Corp",237.22,-1.15,-0.48%,239.265,235.86,1752700,2022-10-20
DGX,"Quest Diagnostics Inc",134.66,8,+6.32%,134.99,128.46,2359900,2022-10-20
DHI,"D.R. Horton",67.14,-0.65000000000001,-0.96%,69.38,66.71,2814400,2022-10-20
DHR,"Danaher Corp",243.08,-14.81,-5.74%,254.01,241.575,7560300,2022-10-20
DIS,"Walt Disney Company",98.59,-0.39999999999999,-0.40%,100.75,98.11,8212400,2022-10-20
DISH,"Dish Network Corp",13.93,0.18,+1.31%,14.24,13.76,2670100,2022-10-20
DLR,"Digital Realty Trust",95.08,-0.13,-0.14%,97.19,94.84,2081700,2022-10-20
DLTR,"Dollar Tree Inc",139.03,-0.94,-0.67%,140.93,137,1822300,2022-10-20
DOV,"Dover Corp",119.1,-2.26,-1.86%,123.14,117.795,1605400,2022-10-20
DOW,"Dow Inc",44.93,-0.2,-0.44%,47.63,44.9,9259900,2022-10-20
DPZ,"Domino's Pizza Inc",319.5,-3.9,-1.21%,327.71,318.91,664400,2022-10-20
DRI,"Darden Restaurants",132.23,-0.77000000000001,-0.58%,134.1,131.54,997600,2022-10-20
DTE,"Dte Energy Company",105.89,-2.74,-2.52%,108.53,105.39,2015200,2022-10-20
DUK,"Duke Energy Corp",87.23,-2.06,-2.31%,89.17,86.72,4057800,2022-10-20
DVA,"Davita Healthcare Partners Inc",90.93,0.26000000000001,+0.29%,91.63,90.43,560500,2022-10-20
DVN,"Devon Energy Corp",71.68,-0.25999999999999,-0.36%,73.35,71.18,7703900,2022-10-20
DXC,"Dxc Technology Company",28.35,0.21,+0.75%,29.28,28.07,1921000,2022-10-20
DXCM,"Dexcom Inc",94.36,-2.48,-2.56%,97.45,93.79,2688300,2022-10-20
EA,"Electronic Arts Inc",123.55,-0.29,-0.23%,125.7,122.29,1360800,2022-10-20
EBAY,"Ebay Inc",37.62,-0.19,-0.50%,38.66,37.48,5105200,2022-10-20
ECL,"Ecolab Inc",141.99,-3.74,-2.57%,146.5,141.075,1324100,2022-10-20
ED,"Consolidated Edison Company",83.42,-1.12,-1.32%,84.46,83.02,2384500,2022-10-20
EFX,"Equifax Inc",150.24,-9.88,-6.17%,160.69,149.135,2710600,2022-10-20
EIX,"Edison International",54.94,-1.8,-3.17%,56.75,54.68,1336400,2022-10-20
EL,"Estee Lauder Companies",200.95,-6.34,-3.06%,210.09,200.73,2872100,2022-10-20
ELV,"Elevance Health Inc",502.22,14.41,+2.95%,509.33,489.32,1946500,2022-10-20
EMN,"Eastman Chemical Company",72.36,-0.78,-1.07%,75.46,72.28,712000,2022-10-20
EMR,"Emerson Electric Company",80.15,-1.05,-1.29%,81.72,79.64,2547500,2022-10-20
ENPH,"Enphase Energy Inc",244.29,1.1,+0.45%,247.68,234,3449200,2022-10-20
EOG,"Eog Resources",131.59,1.52,+1.17%,134.31,130.74,3902300,2022-10-20
EPAM,"Epam Systems Inc",332.54,0.89000000000004,+0.27%,341.39,328.405,232700,2022-10-20
EQIX,"Equinix Inc",526.2,0.68,+0.13%,533.07,520.98,439700,2022-10-20
EQR,"Equity Residential",63.61,-0.020000000000003,-0.03%,64.61,63.29,1281800,2022-10-20
EQT,"Eqt Corp",40.74,-1.47,-3.48%,42.41,40.66,6118400,2022-10-20
ES,"Eversource Energy",71.68,-2.82,-3.79%,74.3,71.26,1661300,2022-10-20
ESS,"Essex Property Trust",226.72,-0.40000000000001,-0.18%,231.05,225.6576,498800,2022-10-20
ETN,"Eaton Corp",135.26,-3.74,-2.69%,139.8,134.84,2079400,2022-10-20
ETR,"Entergy Corp",99.97,-1.77,-1.74%,101.98,99.11,1109900,2022-10-20
ETSY,"Etsy Inc",97.44,3.11,+3.30%,99.75,93.79,2965700,2022-10-20
EVRG,"Evergy Inc",57.04,-1.28,-2.19%,58.27,56.8,688100,2022-10-20
EW,"Edwards Lifesciences Corp",83.68,-2.27,-2.64%,86.06,83.405,3838900,2022-10-20
EXC,"Exelon Corp",35.54,-1.31,-3.55%,36.67,35.19,10085700,2022-10-20
EXPD,"Expeditors Intl",89.75,-1.26,-1.38%,91.76,89.35,1099600,2022-10-20
EXPE,"Expedia Group Inc",93.15,-2.97,-3.09%,97.63,92.92,3233500,2022-10-20
EXR,"Extra Space Storage Inc",165.78,-0.13999999999999,-0.08%,167.81,164.74,440500,2022-10-20
F,"Ford Motor Company",11.77,-0.36,-2.97%,12.195,11.73,55568000,2022-10-20
FANG,"Diamondback Energy",146.59,0.56,+0.38%,148.96,145.57,1743200,2022-10-20
FAST,"Fastenal Company",45.35,-0.73,-1.58%,46.26,44.9,3220200,2022-10-20
FBHS,"Fortune Brands Home & Security",53.44,-1.57,-2.85%,56.4,53.43,1737400,2022-10-20
FCX,"Freeport-Mcmoran Inc",29.12,0.76,+2.68%,30.6,28.16,26954300,2022-10-20
FDS,"Factset Research Systems Inc",399.53,-6.5700000000001,-1.62%,406.78,398.74,174300,2022-10-20
FDX,"Fedex Corp",150.14,-2.82,-1.84%,155.4,149.865,3652100,2022-10-20
FE,"Firstenergy Corp",36.08,-0.84,-2.28%,36.88,35.81,2675700,2022-10-20
FFIV,"F5 Inc",142.96,0.56,+0.39%,145.46,140.99,892200,2022-10-20
FIS,"Fidelity National Information Services",76.55,-0.18000000000001,-0.23%,77.89,76.16,3085600,2022-10-20
FISV,"Fiserv Inc",95.01,-1.22,-1.27%,96.75,94.5,3610500,2022-10-20
FITB,"Fifth Third Bancorp",31.15,-2.11,-6.34%,33.01,30.98,9696800,2022-10-20
FLT,"Fleetcor Technologies",164,-3.48,-2.08%,168.69,163.34,739000,2022-10-20
FMC,"FMC Corp",115.35,-1.32,-1.13%,118.02,114.45,917300,2022-10-20
FOX,"Fox Corp Cl B",27.36,-0.3,-1.08%,27.86,27.32,1168700,2022-10-20
FOXA,"Fox Corp Cl A",29.01,-0.31,-1.06%,29.55,28.97,2223600,2022-10-20
FRC,"First Republic Bank",111.47,-0.32000000000001,-0.29%,113.83,110.195,2419000,2022-10-20
FRT,"Federal Realty Investment Trust",90.55,-0.68000000000001,-0.75%,92.4,90.49,325100,2022-10-20
FTNT,"Fortinet Inc",51.59,-0.2,-0.39%,53.13,51.3,4433500,2022-10-20
FTV,"Fortive Corp",59.58,-1.09,-1.80%,61.12,59.51,1532400,2022-10-20
GD,"General Dynamics Corp",237.44,-1.93,-0.81%,241.02,235.87,1184100,2022-10-20
GE,"General Electric Company",69.97,-0.56,-0.79%,71.615,69.835,5987200,2022-10-20
GILD,"Gilead Sciences Inc",66.16,-0.03,-0.05%,66.54,65.7,6384200,2022-10-20
GIS,"General Mills",76.67,-1.46,-1.87%,78.16,76.56,3002800,2022-10-20
GL,"Globe Life Inc",109.8,-2.76,-2.45%,112.54,109.51,489100,2022-10-20
GLW,"Corning Inc",30.9,-0.52,-1.65%,32.095,30.695,5433700,2022-10-20
GM,"General Motors Company",33.44,-0.19,-0.56%,34.15,33.14,13579800,2022-10-20
GNRC,"Generac Holdings Inc",109.9,-0.39999999999999,-0.36%,116.39,106.0001,6350500,2022-10-20
GOOG,"Alphabet Cl C",100.53,0.24,+0.24%,103,99.97,25125000,2022-10-20
GOOGL,"Alphabet Cl A",99.97,0.34,+0.34%,102.32,99.39,25323199,2022-10-20
GPC,"Genuine Parts Company",157.87,-1.1,-0.69%,161.75,154.6901,1358800,2022-10-20
GPN,"Global Payments Inc",112.78,0.11,+0.10%,115.245,112.29,1653000,2022-10-20
GRMN,"Garmin Ltd",80.86,-0.34,-0.42%,82.07,80.585,1202900,2022-10-20
GS,"Goldman Sachs Group",310.81,-0.94999999999999,-0.30%,316.05,309,2382300,2022-10-20
GWW,"W.W. Grainger",509.19,-11.94,-2.29%,521.68,503.61,327100,2022-10-20
HAL,"Halliburton Company",31.66,-0.3,-0.94%,32.53,31.28,11097300,2022-10-20
HAS,"Hasbro Inc",64.11,-0.73,-1.13%,65.92,63.6,1727100,2022-10-20
HBAN,"Huntington Bcshs",13.2,-0.42,-3.08%,13.75,13.1,23522299,2022-10-20
HCA,"Hca Holdings Inc",208.61,-0.57999999999998,-0.28%,213.91,207.42,2469200,2022-10-20
HD,"Home Depot",269.46,-6.03,-2.19%,278,267.865,3959500,2022-10-20
HES,"Hess Corp",130.15,1.15,+0.89%,133.31,129.07,2180100,2022-10-20
HIG,"Hartford Financial Services Group",65.61,-2.39,-3.51%,67.5,65.31,1755800,2022-10-20
HII,"Huntington Ingalls Industries",243.01,-0.13,-0.05%,245.41,241.56,460600,2022-10-20
HLT,"Hilton Inc",126.55,-2.15,-1.67%,131.43,126.2,1867100,2022-10-20
HOLX,"Hologic Inc",61.6,-0.57,-0.92%,62.92,61.5,1296600,2022-10-20
HON,"Honeywell International Inc",177.64,-1.64,-0.91%,180.82,177.11,2687400,2022-10-20
HPE,"Hewlett Packard Enterprise Comp",12.81,-0.0099999999999998,-0.08%,13.2,12.74,17132300,2022-10-20
HPQ,"Hp Inc",25.57,0.080000000000002,+0.31%,26.34,25.485,5830700,2022-10-20
HRL,"Hormel Foods Corp",44.89,-1.23,-2.67%,46.31,44.82,2072800,2022-10-20
HSIC,"Henry Schein Inc",67.67,-0.01,-0.01%,68.13,67.36,549300,2022-10-20
HST,"Host Marriott Financial Trust",17.24,-0.29,-1.65%,17.87,17.19,6914700,2022-10-20
HSY,"Hershey Foods Corp",224.74,-1.52,-0.67%,227.11,223.85,626000,2022-10-20
HUM,"Humana Inc",505.35,5.14,+1.03%,513.0123,502,923200,2022-10-20
HWM,"Howmet Aerospace Inc",34.02,-0.22,-0.64%,34.96,33.99,5165200,2022-10-20
IBM,"International Business Machines",128.3,5.79,+4.73%,128.96,125.15,13623100,2022-10-20
ICE,"Intercontinental Exchange",90.33,-1.3,-1.42%,92.145,90.16,2488000,2022-10-20
IDXX,"Idexx Laboratories",331.2,-4.29,-1.28%,339.59,330.71,369700,2022-10-20
IEX,"Idex Corp",199.29,-4.77,-2.34%,204.17,198.99,579900,2022-10-20
IFF,"International Flavors & Fragrances",91.21,-1.34,-1.45%,94,90.64,1451100,2022-10-20
ILMN,"Illumina Inc",208.64,3.91,+1.91%,211.98,203.87,1307500,2022-10-20
INCY,"Incyte Corp",68.96,-0.63,-0.91%,70.44,68.72,1096600,2022-10-20
INTC,"Intel Corp",26.08,0.08,+0.31%,26.95,25.94,33247602,2022-10-20
INTU,"Intuit Inc",401.15,-0.92,-0.23%,408.61,397.97,1399100,2022-10-20
INVH,"Invitation Homes Inc",32.54,0.039999999999999,+0.12%,32.9855,32.39,2652100,2022-10-20
IP,"International Paper Company",31.91,-0.65,-2.00%,32.965,31.835,2728700,2022-10-20
IPG,"Interpublic Group of Companies",28.15,-0.34,-1.19%,28.815,28,4207700,2022-10-20
IQV,"Iqvia Holdings Inc",174.58,-3.81,-2.14%,180.42,174.28,1045300,2022-10-20
IR,"Ingersoll Rand Inc",45.2,-1.11,-2.40%,46.841,45.14,1874700,2022-10-20
IRM,"Iron Mountain Inc",46.3,0.059999999999995,+0.13%,47.54,46.18,1134000,2022-10-20
ISRG,"Intuitive Surg Inc",212,0.86,+0.41%,221,211.12,3664800,2022-10-20
IT,"Gartner Inc",280.55,-5.72,-2.00%,289.08,278.53,368500,2022-10-20
ITW,"Illinois Tool Works Inc",188.98,-2.97,-1.55%,192.85,188.04,1197600,2022-10-20
IVZ,"Invesco Plc",14.41,-0.23,-1.57%,14.89,14.28,4377300,2022-10-20
J,"Jacobs Engineering Group Inc",113.02,-1.13,-0.99%,115.07,112.225,527900,2022-10-20
JBHT,"J B Hunt Transport",160.49,-7.47,-4.45%,168.42,159.83,1108300,2022-10-20
